Id,Cod_pb,E_t,S_t_c_v_kgs,Rec_kgs,G_ti_kgs,Merm_kgs,Dif_pb_stc_kgs,Criterio
1,DCP,1,22.831,0.652,0,0.202,0.015,BA
2,DCP,1,6.14,0.19,0,0.046,0.024,BA
3,DCP,1,6.12,0.111,0,0.08,0.089,BA
4,DCP,1,6.8,0.041,0,0.116,0.023,BA
5,DCP,1,5.17,0.1,0,0.22,0.03,MA
6,DCP,2,6.11,0,0,0.055,0.005,BA
7,DCP,2,9.415,0,0,0.14,0.025,BA
8,DCP,2,10.23,0,0.26,0.2,0.06,BA
9,DCP,2,10.485,0,0.11,0.13,0,BA
10,DCP,1,7.875,0,0.055,0.045,0.005,BA
11,DCP,1,7.255,0,0.065,0.06,0.01,BA
12,DCP,1,7.26,0,0.1,0.1,0.015,BA
13,DCP,1,13.15,0,0.4,0.35,0.05,BA
14,DCP,1,10.2,0,0.44,0.41,0.15,MA
15,DCP,1,5.11,0,1.57,0.41,0.05,MA
16,DCP,2,12.61,0,0.47,0.12,0.015,BA
17,DCP,2,9.85,0,0.595,0.185,0.07,MA
18,DCP,2,9.85,0,0.6,0.175,0.025,MA
19,DCP,1,7.2,0,0,0.1,0,BA
20,DCP,1,5.3,0,0,0.1,0,BA
21,DCP,1,8.8,0,0,0.1,0,BA
22,DCP,1,5.05,0.25,0.4,0.1,0,MA
23,DCP,2,5.07,0,0,0.065,0.02,BA
24,DCP,2,7.415,0,0,0.075,0.035,BA
25,DCP,2,7.26,0,0,0.105,0.025,BA
26,DCP,2,6.425,0.21,0.225,0.185,0.065,MA
27,DCP,2,7.675,0,0.07,0.165,0.035,BA
28,DCP,2,7.36,0,0.115,0.3,0,BA
29,DCP,2,6.155,0.13,0.045,0.2,0.055,BA
30,DCP,2,7.42,0,0.075,0,0.095,BA
31,DCP,2,9.95,0,0.38,0.245,0.075,BA
32,DCP,2,10.9,0.11,0.585,0.1,0,MA
33,DCP,2,9.2,0,0.63,0.12,0.06,MA
34,DCP,2,7,0,0.1,0.2,0.035,BA
35,DCP,2,6.715,0.085,0.1,0.245,0.015,BA
36,DCP,2,10.39,0,0.44,0.305,0.135,MA
37,DCP,2,8.2,0,0.305,0.24,0.085,MA
38,DCP,2,5.34,0,0,0.195,0.085,MA
39,DCP,2,5.4,0,0.145,0.085,0.005,BA
40,DCP,2,4.9,0,0.105,0.07,0.075,BA
41,DCP,2,6.45,0,0,0.12,0.07,BA
42,DCP,2,5.13,0,0,0.08,0.035,BA
43,DCP,2,4.87,0,0,0.075,0,BA
44,DCP,2,6.605,0,0,0.115,0.04,BA
45,DCP,2,4.72,0,0,0.1,0.03,BA
46,DCP,2,7.255,0,0.63,0.3,0.04,MA
47,DCP,2,10.47,0,0.445,0.14,0.02,BA
48,DCP,2,7.255,0,0.035,0.085,0.005,BA
49,DCP,2,7.11,0,0.17,0.095,0,BA
50,DCP,2,5.295,0,0.12,0.14,0,BA
51,DCP,2,7.54,0,0.175,0.09,0.015,BA
52,DCP,2,10.16,0,0.85,0.185,0.075,MA
53,DCP,2,12.51,0,0.745,0.3,0,MA
54,DCP,2,10.975,0,0.67,0.14,0.01,MA
55,DCP,3,9,0,0.92,0.23,0.02,MA
56,DCP,3,11.4,0,0.74,0.32,0.05,MA
57,DCP,2,12.415,0.04,0,0.285,0.035,BA
58,DCP,2,8.555,0,0.42,0.215,0.04,MA
59,DCP,2,14.065,0,0.27,0.17,0.065,BA
60,DCP,2,6.43,0,0.08,0.04,0.005,BA
61,DCP,2,7.415,0,0.05,0.06,0.005,BA
62,DCP,2,7.28,0,0,0.075,0.03,BA
63,DCP,2,6.405,0,0.085,0.08,0.02,BA
64,DCP,2,6.205,0,0,0.045,0.03,BA
65,DCP,2,6.185,0,0,0.055,0.04,BA
66,DCP,2,11.48,0.115,0.2,0.325,0.005,BA
67,DCP,2,6.285,0,0,0.2,0.035,BA
68,DCP,2,5.32,0,0,0.155,0.035,BA
69,DCP,2,5.99,0,0,0.09,0.035,BA
70,DCP,2,5.265,0,0,0.07,0.07,BA
71,DCP,2,5.7,0.13,0,0.08,0,BA
72,DCP,2,7.1,0,0.95,0.37,0.09,MA
73,DCP,2,6.5,0,0.2,0.17,0.025,BA
74,DCP,2,6.8,0.7,0,0.227,0.068,MA
75,DCP,2,7.3,0,0,0.8,0.065,MA
76,DCP,2,7.91,0,0,0.095,0.03,BA
77,DCP,2,6.58,0,0,0.13,0.05,BA
78,DCP,2,8.6,0,0,0.11,0.02,BA
79,DCP,2,12.975,0.145,0,0.225,0.01,BA
80,DCP,2,12.245,0,0,0.34,0,BA
81,DCP,2,10.795,0,0,0.24,0.07,BA
82,DCP,2,5.195,0,0,0.15,0.04,BA
83,DCP,2,4.32,0,0,0.145,0.04,MA
84,DCP,2,5.13,0,0,0.15,0.025,BA
85,DCP,2,3.935,0,0,0.13,0.03,BA
86,DCP,2,5.88,0,0,0.15,0.055,BA
87,DCP,2,4.88,0,0,0.16,0.025,BA
88,DCP,2,5.58,0,0,0.23,0.04,MA
89,DCP,2,4.11,0.11,0,0.16,0,BA
90,DCP,2,14.695,0,0,0.12,0,BA
91,DCP,2,11.17,0,0,0.24,0.11,BA
92,DCP,2,7.8,0,0,0.32,0.1,MA
93,DCP,2,7.24,0,0.075,0.2,0.06,BA
94,DCP,2,8.665,0,0.235,0.43,0.05,MA
95,DCP,2,6.03,0,0.265,0.14,0.045,BA
96,DCP,2,6.83,0.135,0.27,0.23,0.03,MA
97,DCP,2,12.56,0.2,0.36,0.225,0.005,BA
98,DCP,2,7.32,0.2,0.105,0.45,0.005,MA
99,DCP,3,7.08,0,0.265,0.08,0.14,BA
100,DCP,3,6.1,0.53,0.26,0.195,0.06,MA
101,DCP,3,6.7,0,0.265,0.08,0.035,BA
102,DCP,3,5.9,0.535,0.1,0,0.075,MA
103,DCP,3,5.8,0.265,0.13,0,0.095,MA
104,DCP,3,14.3,0.31,0.075,0.215,0,BA
105,DCP,3,6.4,0.415,0.055,0.06,0.01,MA
106,DCP,3,6.2,0.415,0.11,0.195,0.03,MA
107,DCP,2,9.38,0,0.41,0.19,0,BA
108,DCP,2,9.805,0,0.215,0.175,0.015,BA
109,DCP,2,9.49,0,0.48,0.16,0.015,BA
110,DCP,2,6.65,0,0,0.135,0.03,BA
111,DCP,2,5.85,0,0,0.12,0.005,BA
112,DCP,2,5.735,0,0,0.05,0.035,BA
113,DCP,2,6.5,0.22,0.11,0,0.025,BA
114,DCP,2,8,0.63,0.12,0.345,0.085,MA
115,DCP,2,10.9,0.43,0.175,0,0.015,BA
116,DCP,2,7.9,0.665,0.18,0.305,0.005,MA
117,DCP,2,5.5,0.15,0.08,0,0.04,BA
118,DCP,2,5.3,0.05,0.14,0,0.05,BA
119,DCP,2,5.5,0.33,0.125,0,0.06,MA
120,DCP,2,6,0.26,0.105,0,0.03,BA
121,DCP,2,9.97,0,0.23,0.155,0.075,BA
122,DCP,2,12.38,0,0.285,0.175,0.03,BA
123,DCP,2,10.19,0,0.395,0.31,0.02,BA
124,DCP,2,9.655,0.1,0,0.1,0,BA
125,DCP,2,10.165,0,0,0.15,0.01,BA
126,DCP,2,9.925,0.175,0,0.105,0.04,BA
127,DCP,2,9.975,0,0,0.15,0.025,BA
128,DCP,2,11.325,0.055,0,0.125,0.1,BA
129,DCP,2,8.655,0,0.32,0.165,0.03,BA
130,DCP,2,10.97,0,0.5,0.285,0.04,BA
131,DCP,2,10.265,0,0.31,0.225,0.045,BA
132,DCP,3,11.7,0.14,0.12,0.1,0.01,BA
133,DCP,3,11.4,0.15,0,0.42,0,BA
134,DCP,3,11.7,0.14,0.12,0.1,0.015,BA
135,DCP,3,11.4,0.15,0,0.42,0,BA
136,DCP,2,11.55,0.11,0.26,0.41,0,BA
137,DCP,2,9.295,0,0.56,0.16,0,MA
138,DCP,2,11.725,0,0.145,0.24,0.095,BA
139,DCP,2,7.64,0.065,0,0.11,0.02,BA
140,DCP,2,11.14,0,0.62,0.21,0.045,MA
141,DCP,2,12.115,0,0.445,0.4,0.005,BA
142,DCP,2,10.35,0,0,0.09,0.05,BA
143,DCP,2,10.28,0,0.2,0.15,0.015,BA
144,DCP,2,11.49,0,0,0.19,0.065,BA
145,DCP,2,9.8,0.52,0.33,0,0.05,MA
146,DCP,2,11.2,0.64,0.46,0,0,MA
147,DCP,2,11.6,0.72,0.48,0,0.08,MA
148,DCP,3,10.565,0,0.5,0.5,0,MA
149,DCP,3,7.64,0,0.51,0.095,0.01,MA
150,DCP,2,6.975,0.05,0.11,0.12,0.035,BA
151,DCP,2,11.275,0.05,0.35,0.735,0.06,MA
152,DCP,2,6.675,0,0,0.195,0.055,BA
153,DCP,2,5.95,0,0.17,0.07,0.03,BA
154,DCP,2,5.885,0.075,0.315,0.11,0.015,MA
155,DCP,2,6.64,0,0,0.08,0.05,BA
156,DCP,2,6.6,0,0,0.16,0.01,BA
157,DCP,2,7.1,0,0,0.175,0,BA
158,DCP,2,6.145,0,0,0.045,0.04,BA
159,DCP,2,10.745,0,0,0.27,0.1,BA
160,DCP,2,11.31,0,0.85,0.08,0.015,MA
161,DCP,2,11.01,0,0.69,0.24,0.045,MA
162,DCP,2,7.885,0,0.545,0.205,0.03,MA
163,DCP,3,12.63,0.24,0.315,0.365,0.115,MA
164,DCP,2,8.98,0.23,0.5,0.055,0.17,MA
165,DCP,2,8.2,0,0.49,0.45,0.07,MA
166,DCP,2,7.91,0,0.28,0.345,0,MA
167,DCP,2,10.04,0,0.45,0.245,0.035,BA
168,DCP,3,5.46,0.245,0.055,0,0.08,BA
169,DCP,3,7.3,0,0.25,0,0.08,BA
170,DCP,3,5.15,0.47,0.12,0,0.01,MA
171,DCP,3,5.46,0.295,0.055,0,0,MA
172,DCP,2,12,0,1.205,0.12,0,MA
173,DCP,2,12.38,0,0.915,0.12,0.035,MA
174,DCP,2,13.61,0,1.23,0.155,0.035,MA
175,DCP,2,11.155,0,0,0.31,0.035,BA
176,DCP,2,12.125,0,0,0.315,0.04,BA
177,DCP,2,8.935,0,0,0.235,0.01,BA
178,DCP,2,12.215,0,0,0.39,0.145,MA
179,DCP,3,11,0.07,0.075,0.03,0,BA
180,DCP,2,5.68,0,0.325,0.32,0.065,MA
181,DCP,2,5.875,0,0.17,0.29,0.04,MA
182,DCP,2,5.715,0,0.145,0.215,0.09,MA
183,DCP,2,5.82,0,0,0,0.155,BA
184,DCP,2,10.78,0,0.99,0.57,0.17,MA
185,DCP,2,6.595,0.15,0.06,0,0.02,BA
186,DCP,2,7.86,0.155,0.095,0,0.02,BA
187,DCP,2,5.695,0,0.185,0.05,0.015,BA
188,DCP,2,7.76,0,0.225,0.045,0.01,BA
189,DCP,3,6.6,0.315,0.08,0,0.01,BA
190,DCP,3,7.6,0.085,0.075,0,0.06,BA
191,DCP,3,8.4,0.47,0.225,0,0.01,MA
192,DCP,3,7.2,0.15,0.145,0,0.005,BA
193,DCP,3,6.7,0.345,0,0.6,0.005,MA
194,DCP,3,7,0.095,0.075,0.075,0.035,BA
195,DCP,3,7.2,0.42,0.195,0.115,0.025,MA
196,DCP,3,7.6,0,0.195,0.05,0.06,BA
197,DCP,2,8.2,0,0.145,0.045,0.085,BA
198,DCP,2,7.1,0,0.125,0.32,0.06,MA
199,DCP,2,8.5,0,0.15,0.075,0.095,BA
200,DCP,2,8.9,0,0.11,0.07,0.075,BA
201,DCP,2,8.6,0,0.04,0.34,0.01,BA
202,DCP,2,8.6,0,0.105,0.135,0.08,BA
203,DCP,2,4.9,0,0,0.125,0.06,BA
204,DCP,2,5.4,0,0,0.105,0.095,BA
205,DCP,2,4.6,0,0,0.05,0.055,BA
206,DCP,2,5,0,0,0.085,0.055,BA
